,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.7689,0.8046,0.5602,0.7208,0.6279,0.4641,0.4736,1.349
ridge,Ridge Classifier,0.767,0.0,0.5497,0.7235,0.6221,0.4581,0.469,0.009
lda,Linear Discriminant Analysis,0.767,0.8055,0.555,0.7202,0.6243,0.4594,0.4695,0.011
rf,Random Forest Classifier,0.7485,0.7911,0.5284,0.6811,0.5924,0.415,0.4238,0.081
nb,Naive Bayes,0.7427,0.7955,0.5702,0.6543,0.6043,0.4156,0.4215,0.009
gbc,Gradient Boosting Classifier,0.7373,0.7918,0.555,0.6445,0.5931,0.4013,0.4059,0.047
ada,Ada Boost Classifier,0.7372,0.7799,0.5275,0.6585,0.5796,0.3926,0.4017,0.033
et,Extra Trees Classifier,0.7299,0.7788,0.4965,0.6516,0.5596,0.3706,0.3802,0.07
qda,Quadratic Discriminant Analysis,0.7282,0.7894,0.5281,0.6558,0.5736,0.3785,0.391,0.011
lightgbm,Light Gradient Boosting Machine,0.7133,0.7645,0.5398,0.6036,0.565,0.3534,0.358,0.163
knn,K Neighbors Classifier,0.7001,0.7164,0.502,0.5982,0.5413,0.3209,0.3271,0.522
dt,Decision Tree Classifier,0.6928,0.6512,0.5137,0.5636,0.5328,0.307,0.3098,0.009
dummy,Dummy Classifier,0.6518,0.5,0.0,0.0,0.0,0.0,0.0,0.011
svm,SVM - Linear Kernel,0.5954,0.0,0.3395,0.409,0.2671,0.072,0.0912,0.01
