,REPORT_DATE,NAMA_PERUSAHAAN,EQUITY
0,2015-12-31,INDOLIFE PENSIONTAMA,3169892.0
1,2016-12-31,INDOLIFE PENSIONTAMA,3066138.0
2,2017-12-31,INDOLIFE PENSIONTAMA,7752477.0
3,2018-12-31,INDOLIFE PENSIONTAMA,6032822.0
4,2019-12-31,INDOLIFE PENSIONTAMA,7170158.0
5,2020-12-31,INDOLIFE PENSIONTAMA,5119897.0
6,2021-12-31,INDOLIFE PENSIONTAMA,19080381.0
7,2022-12-31,INDOLIFE PENSIONTAMA,18589736.0
8,2023-12-31,INDOLIFE PENSIONTAMA,29814350.35
9,2024-12-31,INDOLIFE PENSIONTAMA,35379027.07
10,2025-12-31,INDOLIFE PENSIONTAMA,49321943.43
11,2026-12-31,INDOLIFE PENSIONTAMA,62329574.25
12,2027-12-31,INDOLIFE PENSIONTAMA,82973661.34
0,2015-12-31,ASURANSI JIWA MANULIFE INDONESIA,7497748.0
1,2016-12-31,ASURANSI JIWA MANULIFE INDONESIA,8026121.0
2,2017-12-31,ASURANSI JIWA MANULIFE INDONESIA,10863284.0
3,2018-12-31,ASURANSI JIWA MANULIFE INDONESIA,11253789.0
4,2019-12-31,ASURANSI JIWA MANULIFE INDONESIA,14092283.0
5,2020-12-31,ASURANSI JIWA MANULIFE INDONESIA,15574135.0
6,2021-12-31,ASURANSI JIWA MANULIFE INDONESIA,15283277.0
7,2022-12-31,ASURANSI JIWA MANULIFE INDONESIA,14784454.0
8,2023-12-31,ASURANSI JIWA MANULIFE INDONESIA,15531170.52
9,2024-12-31,ASURANSI JIWA MANULIFE INDONESIA,15671716.27
10,2025-12-31,ASURANSI JIWA MANULIFE INDONESIA,15986050.19
11,2026-12-31,ASURANSI JIWA MANULIFE INDONESIA,16126326.84
12,2027-12-31,ASURANSI JIWA MANULIFE INDONESIA,16277304.05
0,2015-12-31,AIA FINANCIAL,7300230.0
1,2016-12-31,AIA FINANCIAL,8937206.0
2,2017-12-31,AIA FINANCIAL,12198475.0
3,2018-12-31,AIA FINANCIAL,13091636.0
4,2019-12-31,AIA FINANCIAL,14599505.0
5,2020-12-31,AIA FINANCIAL,12783724.0
6,2021-12-31,AIA FINANCIAL,12229918.0
7,2022-12-31,AIA FINANCIAL,8724842.0
8,2023-12-31,AIA FINANCIAL,6087964.71
9,2024-12-31,AIA FINANCIAL,2226084.31
10,2025-12-31,AIA FINANCIAL,-1001976.62
11,2026-12-31,AIA FINANCIAL,-4377382.89
12,2027-12-31,AIA FINANCIAL,-6974968.53
0,2015-12-31,BRI LIFE,1270713.0
1,2016-12-31,BRI LIFE,1602200.0
